,canon_smi,pX,source,is_train
62,CC(=O)N1CCc2c(c(Nc3ccc(-c4cnn(C)c4)cc3)nn2[C@@H]2CCOC2)C1,4.958607314841775,reaxys,True
63,CC(=O)N1CCc2c(c(Nc3ccc(-c4cnn(C)c4)cc3)nn2[C@H]2CCOC2)C1,5.070581074285707,reaxys,True
64,CC(=O)N1CCc2c(c(Nc3ccc(-c4cnn(C)c4)cc3F)nn2[C@@H]2CCOC2)C1,4.844663962534939,reaxys,True
65,CC(=O)N1CCc2c(c(Nc3ccc(-c4cnn(C)c4)cc3F)nn2[C@H]2CCOC2)C1,4.792513326014591,reaxys,True
66,CC(=O)N1CCc2c(c(Nc3cccc(-c4cc[nH]n4)c3)nn2CC2CC2)C1,5.42021640338319,reaxys,True
67,CC(=O)N1CCc2c(c(Nc3cccc(-c4ccccc4)c3)nn2CC2CC2)C1,5.337242168318426,reaxys,True
68,CC(=O)N1CCc2c(c(Nc3cccc(-c4ccccn4)c3)nn2CC2CC2)C1,5.4089353929735005,reaxys,True
69,CC(=O)N1CCc2c(c(Nc3cccc(-c4cccnc4)c3)nn2CC2CC2)C1,5.3979400086720375,reaxys,True
70,CC(=O)N1CCc2c(c(Nc3cccc(-c4ccnn4C)c3)nn2CC2CC2)C1,5.431798275933005,reaxys,True
71,CC(=O)N1CCc2c(c(Nc3cccc(-c4cn[nH]c4)c3)nn2CC2CC2)C1,5.337242168318426,reaxys,True
72,CC(=O)N1CCc2c(c(Nc3cccc(-c4cnn(C)c4)c3)nn2CC2CC2)C1,5.376750709602099,reaxys,True
73,CC(=O)N1CCc2c(c(Nc3cccc(-c4cnoc4)c3)nn2CC2CC2)C1,5.0655015487564325,reaxys,True
74,CC(=O)N1CCc2c(c(Nc3cccc(C(=O)N(C)C)c3)nn2CC2CC2)C1,4.886056647693163,reaxys,True
75,CC(=O)N1CCc2c(c(Nc3cccc(C(=O)NC(C)C)c3)nn2CC2CC2)C1,5.431798275933005,reaxys,True
76,CC(=O)N1CCc2c(c(Nc3cccc(C)c3)nn2C)C1,4.698970004336019,reaxys,True
77,CC(=O)N1CCc2c(c(Nc3cccc(C)c3)nn2C2CC2)C1,4.823908740944319,reaxys,True
78,CC(=O)N1CCc2c(c(Nc3cccc(C)c3)nn2CC2CC2)C1,4.886056647693163,reaxys,True
79,CC(=O)N1CCc2c(c(Nc3cccc(C)c3)nn2CCC#N)C1,4.698970004336019,reaxys,True
80,CC(=O)N1CCc2c(c(Nc3cccc(C)c3)nn2CCC2CC2)C1,5.008773924307505,reaxys,True
81,CC(=O)N1CCc2c(c(Nc3cccc(C)c3)nn2CCO)C1,4.698970004336019,reaxys,True
82,CC(=O)N1CCc2c(c(Nc3cccc(C)c3)nn2Cc2ccccc2)C1,5.337242168318426,reaxys,True
83,CC(=O)N1CCc2c(c(Nc3cccc(C)c3)nn2Cc2ccccn2)C1,5.136677139879544,reaxys,True
84,CC(=O)N1CCc2c(c(Nc3cccc(C)c3)nn2Cc2cccnc2)C1,5.251811972993799,reaxys,True
85,CC(=O)N1CCc2c(c(Nc3cccc(C)c3)nn2Cc2ccncc2)C1,5.229147988357856,reaxys,True
86,CC(=O)N1CCn2c(C(C)C)nc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2C1,5.0,reaxys,True
87,CC(=O)N1CCn2c(C)nc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2C1,5.0,reaxys,True
88,CC(=O)N1CCn2c(C3CC3)nc(-c3cc4c(-c5cnn(C)c5)nn(C)c4cc3F)c2C1,4.729507496361382,reaxys,True
89,CC(=O)N1CCn2c(C3CC3)nc(-c3ccc4c(c(-c5cnn(C)c5)nn4C)c3F)c2C1,4.797866019939181,reaxys,True
90,CC(=O)N1CCn2c(C3CC3)nc(-c3ccc4c(c3)c(-c3c(C)noc3C)nn4C)c2C1,4.6020599913279625,reaxys,True
91,CC(=O)N1CCn2c(C3CC3)nc(-c3ccc4c(c3)c(-c3cn(C)nc3C)nn4C)c2C1,4.6020599913279625,reaxys,True
92,CC(=O)N1CCn2c(C3CC3)nc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2C1,5.0,reaxys,True
93,CC(=O)N1CCn2c(C3CC3)nc(-c3ccc4c(cnn4C)c3)c2C1,4.6020599913279625,reaxys,True
94,CC(=O)N1CCn2c(C3CC3)nc(-c3ccc4nn(C)c(-c5cnn(C)c5)c4c3F)c2C1,4.6020599913279625,reaxys,True
95,CC(=O)N1CCn2c(C3CC3)nc(-c3ccnc4c3cc(-c3cnn(C)c3)n4C)c2C1,4.6020599913279625,reaxys,True
96,CC(=O)N1CCn2c(C3CC3)nc(-c3cnc(N)c(OC(F)(F)F)c3)c2C1,4.6020599913279625,reaxys,True
97,CC(=O)N1CCn2c(C3CC3)nc(-c3cnc4c(c3)c(-c3cnn(C)c3)nn4C)c2C1,4.6020599913279625,reaxys,True
98,CC(=O)N1CCn2c(C3CC3)nc(N3CCCc4cc(-c5c(C)noc5C)ccc43)c2C1,4.987669044419853,reaxys,True
99,CC(=O)N1CCn2c(C3CC3)nc(N3CCCc4cc(-c5ccc(=O)n(C)c5)ccc43)c2C1,5.461049437985639,reaxys,True
100,CC(=O)N1CCn2c(C3CC3)nc(N3CCCc4cc(-c5ccc(C(N)=O)cc5)ccc43)c2C1.O=C(O)C(F)(F)F,4.6020599913279625,reaxys,True
101,CC(=O)N1CCn2c(C3CC3)nc(N3CCCc4cc(-c5cccc(S(N)(=O)=O)c5)ccc43)c2C1,4.6020599913279625,reaxys,True
